 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
196,0.373,2.269,1496.327,174.531,0.816,0.653,0.911,0.879,2,9165,1070,158.199,0.653,1.31,0.763,0.848,0.6891432000580254
197,0.48,2.365,1419.265,176.653,0.653,0.816,1.0,0.952,2,8694,1082,120.964,0.653,1.218,0.821,0.947,0.7817640190446719
198,1.146,3.846,1412.408,180.898,1.306,1.143,0.974,1.505,2,8652,1108,130.601,1.143,1.3,0.769,0.905,1.207945577526776
199,0.24,1.712,1417.959,187.592,0.653,0.49,1.0,0.73,2,8685,1150,153.435,0.49,1.34,0.746,0.857,0.5527906391541367
200,0.586,2.731,1410.776,190.204,0.98,0.816,0.988,1.045,2,8642,1170,51.34,0.816,1.059,0.944,0.863,0.8637814383365767
201,1.04,3.519,1410.939,196.082,1.143,1.143,1.0,1.404,2,8642,1202,144.462,1.143,1.193,0.838,0.907,1.1507254783503185
202,0.32,1.903,1138.612,199.347,0.653,0.49,1.0,0.816,2,6974,1221,143.13,0.49,1.333,0.75,1.0,0.6383076486422923
203,0.267,1.808,1415.51,203.429,0.653,0.49,1.0,0.73,2,8670,1247,153.435,0.49,1.236,0.809,0.909,0.5830565653899187
204,0.56,2.731,1405.224,205.878,0.98,0.816,0.943,1.045,2,8607,1262,141.34,0.816,1.122,0.892,0.84,0.8444016491289505
205,0.72,2.922,1410.286,213.224,0.98,0.816,1.0,1.177,2,8638,1307,146.31,0.816,1.21,0.826,0.947,0.9574614729634384
206,0.187,1.385,1409.796,220.898,0.49,0.49,1.0,0.589,2,8635,1353,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
207,1.599,4.539,1400.49,229.551,1.469,1.469,0.976,1.766,2,8578,1407,146.31,1.385,1.183,0.845,0.902,1.426853192179043
208,0.027,0.462,1399.837,235.918,0.163,0.163,1.0,0.231,2,8574,1445,135.0,0.163,1.0,1.0,1.0,0.185411616971131
209,1.066,3.711,1402.776,243.265,1.306,0.98,0.973,1.404,2,8592,1491,144.462,0.98,1.277,0.783,0.909,1.1650207529000003
210,0.267,1.808,1394.449,256.98,0.49,0.653,1.0,0.73,2,8542,1574,116.565,0.49,1.236,0.809,0.909,0.5830565653899187
211,0.746,3.153,1404.898,257.633,0.98,0.98,0.943,1.275,2,8605,1578,129.806,0.929,1.352,0.74,0.889,0.9745956599392547
212,0.933,3.615,1404.245,271.51,1.143,1.143,0.897,1.385,2,8601,1669,45.0,1.095,1.205,0.83,0.875,1.0899231602447519
213,0.453,2.269,1387.918,271.673,0.816,0.653,1.0,0.952,2,8501,1665,149.036,0.653,1.263,0.792,0.919,0.7594586978664665
214,0.933,3.424,1394.286,277.878,1.143,1.143,1.0,1.316,2,8540,1703,150.255,1.087,1.23,0.813,0.864,1.0899231602447519
215,13.221,24.527,934.041,283.592,4.571,7.51,0.276,7.574,2,5731,1737,97.431,4.548,1.723,0.58,0.55,4.1028648553106875
216,0.133,1.25,1393.959,285.061,0.327,0.49,1.0,0.589,2,8538,1746,123.69,0.327,1.553,0.644,0.909,0.41151046092387084
217,0.16,1.577,1396.898,294.531,0.327,0.653,0.809,0.673,2,8556,1804,104.036,0.327,1.809,0.553,0.857,0.45135166683820505
218,0.347,1.943,1398.367,301.878,0.653,0.653,1.0,0.816,2,8565,1849,126.87,0.653,1.159,0.863,0.897,0.6646909973988676
219,0.027,0.462,1494.367,303.673,0.163,0.163,1.0,0.231,2,9153,1860,135.0,0.163,1.0,1.0,1.0,0.185411616971131
220,0.027,0.462,1400.816,304.816,0.163,0.163,1.0,0.231,2,8580,1867,135.0,0.163,1.0,1.0,1.0,0.185411616971131
221,0.267,3.401,537.796,313.306,0.163,1.633,0.29,1.641,2,3294,1919,95.711,0.163,10.0,0.1,1.0,0.5830565653899187
222,0.293,1.847,1364.408,319.184,0.653,0.653,1.0,0.73,2,8358,1955,116.565,0.653,1.139,0.878,0.815,0.6107857125108631
223,0.56,2.635,1383.347,320.816,0.816,0.98,1.0,1.045,2,8473,1966,128.66,0.808,1.272,0.786,0.857,0.8444016491289505
224,1.439,5.709,988.082,331.429,1.306,2.122,0.555,2.338,2,6053,2030,114.775,1.166,1.979,0.505,0.725,1.3535847608753206
225,0.613,2.731,912.653,365.061,0.98,0.816,1.0,1.095,2,5590,2240,26.565,0.816,1.314,0.761,0.885,0.8834567566794963
226,9.036,16.126,732.898,377.633,4.082,4.571,0.437,5.618,2,4489,2341,54.462,3.578,1.693,0.59,0.69,3.391901019520901
227,0.053,0.788,998.531,385.143,0.163,0.327,1.0,0.365,2,6116,2359,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
228,0.027,0.462,1000.49,385.306,0.163,0.163,1.0,0.231,2,6128,2360,135.0,0.163,1.0,1.0,1.0,0.185411616971131
229,0.053,0.924,1000.98,385.633,0.327,0.327,0.785,0.462,2,6131,2362,135.0,0.231,2.646,0.378,0.667,0.25977239243415307
230,0.107,1.25,1000.49,388.898,0.327,0.49,0.857,0.589,2,6128,2382,123.69,0.327,2.031,0.492,0.8,0.36910246719124273
231,0.347,2.134,1001.469,389.388,0.816,0.49,0.956,0.952,2,6134,2388,30.964,0.49,1.796,0.557,0.929,0.6646909973988676
232,10.289,25.1,935.837,397.224,8.163,4.082,0.205,8.325,2,5732,2440,168.69,3.578,3.646,0.274,0.443,3.619442177432883
233,0.64,3.806,1209.469,398.204,1.306,0.98,0.555,1.54,2,7408,2440,147.995,0.906,2.012,0.497,0.686,0.9027033336764101
234,4.478,15.727,1206.367,400.653,4.082,4.571,0.228,5.814,2,7392,2482,51.843,2.655,3.118,0.321,0.461,2.387795360018119
235,0.027,0.462,948.408,421.878,0.163,0.163,1.0,0.231,2,5809,2584,135.0,0.163,1.0,1.0,1.0,0.185411616971131
236,0.853,3.519,948.898,423.673,1.306,0.98,0.865,1.54,2,5812,2595,147.995,0.849,2.013,0.497,0.853,1.0421484211277652
237,23.537,19.239,1755.592,428.408,6.857,4.245,0.799,6.98,2,10753,2645,10.784,4.245,1.627,0.614,0.944,5.474325452914863
238,9.623,17.702,1126.041,429.714,5.551,4.408,0.386,6.135,2,6897,2655,25.201,3.766,1.329,0.753,0.66,3.5003405747136194
239,6.264,14.994,934.531,444.082,4.898,3.429,0.35,5.069,2,5724,2721,165.069,3.112,1.869,0.535,0.594,2.824105612086959
240,0.107,1.25,90.449,467.755,0.49,0.327,0.857,0.589,2,554,2867,33.69,0.327,2.0,0.5,0.8,0.36910246719124273
241,0.666,5.271,808.653,472.49,1.633,1.959,0.301,2.55,2,4953,2906,50.194,0.577,6.549,0.153,0.575,0.9208569578352647
242,4.372,8.457,806.694,477.388,2.612,2.286,0.768,3.35,2,4941,2924,136.975,2.16,1.327,0.753,0.896,2.3593650183009265
243,0.133,1.768,238.367,495.837,0.163,0.816,0.536,0.832,2,1460,3037,101.31,0.163,5.0,0.2,1.0,0.41151046092387084
244,0.027,0.462,238.857,496.653,0.163,0.163,1.0,0.231,2,1463,3042,135.0,0.163,1.0,1.0,1.0,0.185411616971131
245,0.373,2.922,237.714,498.449,0.98,0.816,0.549,1.095,2,1456,3054,153.435,0.751,1.83,0.546,0.636,0.6891432000580254
246,0.053,0.788,1583.51,523.918,0.163,0.327,1.0,0.365,2,9699,3209,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
247,5.224,14.477,1011.265,542.531,4.245,4.571,0.313,5.618,2,6200,3323,125.538,2.536,2.791,0.358,0.538,2.579031481331023
248,0.373,3.711,989.224,543.673,1.633,0.653,0.341,1.705,2,6059,3330,163.301,0.436,5.691,0.176,0.56,0.6891432000580254
249,328.956,104.334,901.551,543.837,25.959,23.837,0.38,27.593,2,5548,3336,140.281,21.974,1.231,0.812,0.769,20.465575674236486
250,46.274,29.774,1003.102,544.0,6.857,10.449,0.656,11.103,2,6159,3396,70.233,6.402,1.722,0.581,0.893,7.67579876580118
251,3.119,14.318,997.388,546.449,3.755,2.449,0.191,4.091,2,6109,3360,28.61,2.449,1.794,0.557,0.391,1.9927955590147657
252,0.213,1.943,993.633,550.204,0.653,0.653,0.71,0.816,2,6086,3373,36.87,0.498,1.925,0.519,0.696,0.5207686847618525
253,0.187,1.712,1384.816,557.061,0.653,0.49,0.8,0.73,2,8482,3412,153.435,0.465,1.73,0.578,0.737,0.48795060699365406
254,0.107,1.385,995.918,557.878,0.49,0.49,0.698,0.693,2,6100,3417,135.0,0.346,2.654,0.377,0.667,0.36910246719124273
255,0.267,1.943,1014.694,561.143,0.653,0.653,0.887,0.924,2,6215,3441,45.0,0.577,1.864,0.537,0.8,0.5830565653899187
256,0.107,0.924,778.449,578.612,0.327,0.327,1.0,0.462,2,4768,3544,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
257,0.027,0.462,2254.694,591.02,0.163,0.163,1.0,0.231,2,13810,3620,135.0,0.163,1.0,1.0,1.0,0.185411616971131
258,0.027,0.462,1721.469,593.959,0.163,0.163,1.0,0.231,2,10544,3638,135.0,0.163,1.0,1.0,1.0,0.185411616971131
259,45.501,45.669,1140.898,603.429,10.776,13.061,0.274,15.352,2,6989,3696,122.845,8.482,1.725,0.58,0.558,7.611417248121051
260,173.234,57.382,131.592,605.388,15.184,17.469,0.661,17.518,2,861,3815,85.724,14.384,1.142,0.875,0.89,14.851544676990713
261,2.532,8.632,1256.653,610.286,2.939,2.286,0.427,3.14,2,7697,3752,27.897,2.093,1.417,0.706,0.625,1.7955062036287794
262,0.267,1.712,1031.837,612.571,0.653,0.49,1.0,0.73,2,6320,3752,153.435,0.49,1.327,0.753,0.909,0.5830565653899187
263,0.16,1.481,1255.51,612.571,0.653,0.327,0.916,0.73,2,7690,3754,26.565,0.327,2.082,0.48,0.857,0.45135166683820505
264,0.027,0.462,2247.673,633.306,0.163,0.163,1.0,0.231,2,13767,3879,135.0,0.163,1.0,1.0,1.0,0.185411616971131
265,4138.569,394.937,1157.061,633.796,80.98,92.571,0.333,95.302,2,7162,4400,47.013,70.068,1.269,0.788,0.798,72.59056212356437
266,2.212,6.132,1531.755,662.857,2.286,1.306,0.739,2.487,2,9382,4060,156.801,1.306,2.11,0.474,0.869,1.6782150854268294
267,1.893,5.231,1053.061,712.49,1.959,1.469,0.869,2.019,2,6450,4370,14.036,1.409,1.433,0.698,0.855,1.5524955581848416
268,1.839,5.98,641.633,722.939,1.796,1.959,0.646,2.355,2,3932,4440,56.31,1.364,1.947,0.514,0.754,1.5301919888589028
269,199.357,76.143,1164.245,725.224,20.898,20.571,0.432,22.699,2,7144,4545,35.633,14.374,1.9,0.526,0.744,15.932018576431796
270,7.89,17.607,765.714,728.0,4.898,5.224,0.32,6.302,2,4693,4490,53.427,2.776,2.958,0.338,0.541,3.169520469717846
271,0.133,1.25,2205.551,745.633,0.49,0.327,1.0,0.589,2,13509,4569,33.69,0.327,1.553,0.644,0.909,0.41151046092387084
272,417.853,88.842,226.612,746.939,27.265,22.857,0.665,29.027,2,1388,4683,23.537,21.383,1.394,0.717,0.898,23.0657096896285
273,0.746,3.058,1753.306,750.857,1.143,0.816,1.0,1.316,2,10739,4599,150.255,0.816,1.588,0.63,0.903,0.9745956599392547
274,33.106,33.119,1142.367,760.49,8.816,8.49,0.379,9.741,2,6998,4708,39.56,6.605,1.779,0.562,0.727,6.492447024658907
275,918.924,190.827,1217.633,799.837,56.816,41.306,0.317,59.431,2,7458,4944,162.411,29.858,2.414,0.414,0.67,34.205414416524974
276,6.131,15.846,961.469,806.041,5.878,4.245,0.307,6.89,2,5890,4962,36.327,1.775,5.477,0.183,0.612,2.793963430106286
277,0.853,3.519,2037.714,806.857,1.306,0.98,0.865,1.46,2,12481,4947,26.565,0.929,1.674,0.598,0.842,1.0421484211277652
278,0.053,0.693,625.306,815.673,0.327,0.163,1.0,0.365,2,3830,4996,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
279,207.274,65.71,614.041,818.939,16.0,19.429,0.603,20.028,2,3766,5041,139.297,14.874,1.482,0.675,0.84,16.245290191173446
280,0.347,1.943,1995.755,847.51,0.653,0.653,1.0,0.816,2,12224,5191,126.87,0.653,1.159,0.863,0.897,0.6646909973988676
281,1.04,5.096,969.796,861.224,1.959,1.306,0.503,2.122,2,5940,5281,22.62,0.929,3.194,0.313,0.639,1.1507254783503185
282,0.853,3.711,1315.592,866.612,1.469,0.816,0.778,1.478,2,8058,5310,173.66,0.816,1.584,0.631,0.842,1.0421484211277652
283,0.586,4.364,1135.673,874.122,0.816,1.796,0.387,1.973,2,6956,5365,65.556,0.803,3.003,0.333,0.603,0.8637814383365767
284,12.581,13.959,1165.061,875.265,4.735,3.918,0.811,4.835,2,7136,5371,168.311,3.918,1.153,0.867,0.914,4.002327661787961
285,0.027,0.462,1139.102,877.061,0.163,0.163,1.0,0.231,2,6977,5372,135.0,0.163,1.0,1.0,1.0,0.185411616971131
286,4.718,9.443,1970.286,920.163,3.592,2.612,0.665,3.945,2,12068,5638,155.556,1.752,2.334,0.428,0.866,2.4509476069594998
287,1.386,5.789,2176.0,947.755,1.959,1.796,0.52,2.658,2,13328,5805,137.49,0.924,3.267,0.306,0.776,1.3284238815238665
288,0.027,0.462,454.204,976.49,0.163,0.163,1.0,0.231,2,2782,5981,135.0,0.163,1.0,1.0,1.0,0.185411616971131
289,25790.134,1048.509,488.163,998.367,292.408,192.653,0.295,296.512,2,2991,6980,9.732,167.473,2.165,0.462,0.659,181.2098741040864
290,211.192,56.617,1971.918,1015.347,17.633,16.653,0.828,18.846,2,12100,6314,54.52,14.931,1.261,0.793,0.953,16.398109828017024
291,0.347,2.038,497.143,1042.122,0.49,0.816,1.0,0.952,2,3045,6383,120.964,0.49,1.735,0.576,0.929,0.6646909973988676
292,1.306,4.403,1000.163,1052.082,1.796,0.98,0.846,1.911,2,6126,6445,160.017,0.98,1.954,0.512,0.891,1.2895157406655116
293,0.133,1.385,1071.51,1056.327,0.49,0.49,0.873,0.589,2,6563,6473,33.69,0.438,1.496,0.668,0.714,0.41151046092387084
294,0.56,3.44,996.898,1057.959,1.469,0.49,0.594,1.549,2,6106,6483,18.435,0.49,3.658,0.273,0.875,0.8444016491289505
295,12.955,16.785,1946.776,1083.755,4.408,5.878,0.578,6.067,2,11933,6674,66.194,3.311,2.153,0.464,0.794,4.061381329307067
296,20.418,24.177,525.551,1101.551,3.265,9.796,0.439,9.906,2,3222,6807,81.469,3.096,3.483,0.287,0.805,5.098725823615401
297,0.64,4.347,1615.673,1104.0,1.306,1.633,0.425,2.091,2,9896,6762,128.66,0.577,4.658,0.215,0.706,0.9027033336764101
298,478.574,100.392,1606.857,1106.612,23.837,31.51,0.597,31.537,2,9914,6778,92.374,21.443,1.426,0.701,0.852,24.68479981450297
299,245.338,71.921,596.571,1138.612,14.857,26.612,0.596,26.876,2,3673,6974,98.032,14.749,1.683,0.594,0.887,17.67410658070827
300,1.839,8.266,584.653,1144.0,1.633,3.265,0.338,3.517,2,3582,7007,111.801,1.24,3.369,0.297,0.611,1.5301919888589028
301,4.665,10.591,2031.673,1144.0,4.245,1.959,0.523,4.492,2,12444,7017,19.093,1.561,3.702,0.27,0.806,2.4371422765586614
302,3.119,14.707,77.061,1171.429,4.245,4.245,0.181,5.227,2,473,7181,141.34,2.47,2.509,0.399,0.339,1.9927955590147657
303,13.088,32.331,74.122,1173.551,7.02,8.98,0.157,9.266,2,458,7243,75.719,6.245,1.201,0.832,0.382,4.08217578767669
304,255.147,63.623,727.347,1176.0,19.102,20.408,0.792,20.904,2,4497,7323,66.038,15.939,1.261,0.793,0.948,18.0239632190188
305,26.069,22.511,1978.449,1178.776,7.184,5.551,0.646,7.367,2,12118,7240,12.804,5.53,1.185,0.844,0.833,5.761256954146461
306,1.466,4.961,2065.959,1182.204,1.959,1.143,0.749,2.065,2,12654,7243,161.565,1.143,1.72,0.581,0.853,1.3662244224803437
307,3.519,9.842,2174.857,1184.163,2.449,3.429,0.456,3.625,2,13322,7274,54.162,1.983,2.232,0.448,0.673,2.116726235941492
308,1.066,4.077,2014.694,1185.796,1.306,1.306,0.806,1.633,2,12340,7269,36.87,1.036,1.733,0.577,0.825,1.1650207529000003
309,0.133,1.577,1280.49,1185.959,0.327,0.653,0.674,0.73,2,7843,7264,116.565,0.327,2.749,0.364,0.769,0.41151046092387084
310,1.493,5.152,1786.939,1187.755,1.796,1.306,0.707,1.973,2,10945,7283,24.444,1.306,1.628,0.614,0.806,1.3787482149724068
311,11.355,29.695,1281.143,1188.571,3.592,12.408,0.162,12.418,2,7861,7356,87.739,3.046,6.081,0.164,0.43,3.8023196907240417
312,0.133,1.577,1785.959,1189.224,0.49,0.49,0.674,0.693,2,10939,7284,135.0,0.462,1.727,0.579,0.714,0.41151046092387084
313,9.436,15.225,2027.429,1191.184,2.939,5.714,0.512,5.9,2,12422,7331,75.579,2.795,2.467,0.405,0.758,3.466163346428006
314,1.573,4.499,1743.51,1191.673,1.633,1.143,0.976,1.705,2,10679,7300,163.301,1.143,1.336,0.748,0.929,1.415205216167751
315,3.545,10.36,1296.98,1195.592,1.469,4.571,0.415,4.675,2,7945,7323,102.095,1.049,5.288,0.189,0.839,2.124531521556259
316,0.72,3.711,2012.571,1195.755,1.633,0.653,0.657,1.665,2,12327,7325,168.69,0.653,2.909,0.344,0.818,0.9574614729634384
317,3.865,8.671,1961.959,1197.388,2.612,2.776,0.646,3.463,2,12018,7334,135.0,1.752,1.949,0.513,0.829,2.218348674217244
318,0.027,0.462,2094.367,1201.143,0.163,0.163,1.0,0.231,2,12828,7357,135.0,0.163,1.0,1.0,1.0,0.185411616971131
319,5.971,12.382,2091.265,1201.633,3.102,4.571,0.489,5.348,2,12811,7388,58.736,1.902,3.292,0.304,0.818,2.7572655515226776
320,2.692,8.249,1963.265,1203.755,1.959,3.265,0.497,3.808,2,12025,7393,59.036,1.094,4.11,0.243,0.849,1.851367293226025
321,1.706,6.076,2125.551,1208.163,2.122,1.633,0.581,2.581,2,13019,7400,145.305,1.223,2.315,0.432,0.776,1.4738204311645933
322,2050.799,352.173,1493.878,1208.816,75.918,56.327,0.208,76.397,2,9150,7505,167.033,54.507,1.373,0.729,0.682,51.09949495937633
323,0.027,0.462,461.061,1209.469,0.163,0.163,1.0,0.231,2,2824,7408,135.0,0.163,1.0,1.0,1.0,0.185411616971131
324,2.612,6.402,2221.551,1210.776,1.796,2.122,0.801,2.55,2,13608,7417,129.806,1.675,1.529,0.654,0.895,1.8236506493427531
325,0.56,2.596,1916.082,1211.592,0.816,0.816,1.0,1.045,2,11736,7426,38.66,0.816,1.182,0.846,0.913,0.8444016491289505
326,3.385,10.129,2186.776,1214.857,3.918,1.633,0.415,4.13,2,13394,7449,18.435,1.52,3.752,0.267,0.688,2.07603368443976
327,0.506,2.827,2222.694,1219.265,0.816,0.98,0.796,1.275,2,13614,7474,50.194,0.752,1.764,0.567,0.809,0.8026575917762147
328,45.981,52.008,2192.163,1220.898,6.204,17.959,0.214,18.066,2,13438,7588,83.774,6.057,3.615,0.277,0.563,7.6514591749853516
329,0.826,3.615,2161.469,1226.449,1.306,0.98,0.795,1.54,2,13239,7517,32.005,0.929,1.648,0.607,0.838,1.0255222396180612
330,1.386,8.361,1571.102,1228.082,3.102,1.796,0.249,3.366,2,9623,7533,22.834,1.033,4.525,0.221,0.475,1.3284238815238665
331,2.052,5.558,2179.265,1237.714,1.633,1.959,0.835,2.065,2,13350,7581,108.435,1.48,1.529,0.654,0.856,1.616381002671262
332,0.08,0.924,2249.306,1241.959,0.327,0.327,1.0,0.462,2,13777,7609,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
333,4726.724,318.312,1424.327,1244.245,81.143,82.612,0.586,91.646,2,8736,7668,131.1,80.053,1.168,0.856,0.897,77.57739305911721
334,3.225,10.591,2183.347,1250.612,4.245,1.959,0.361,4.323,2,13373,7663,169.114,1.548,3.825,0.261,0.625,2.0263754666327016
335,0.107,1.154,2180.735,1253.224,0.49,0.327,1.0,0.516,2,13357,7676,161.565,0.327,1.468,0.681,0.8,0.36910246719124273
336,973.861,222.95,1537.143,1254.041,54.531,40.653,0.246,55.068,2,9415,7846,8.01,36.4,1.896,0.528,0.673,35.21304213321153
337,1.04,3.846,2180.408,1256.49,1.306,1.143,0.883,1.633,2,13355,7702,36.87,1.039,1.587,0.63,0.876,1.1507254783503185
338,0.293,2.5,2178.122,1257.633,0.816,0.816,0.589,1.045,2,13342,7708,51.34,0.653,1.847,0.541,0.647,0.6107857125108631
339,7.57,19.319,2112.653,1259.102,6.204,3.592,0.255,7.011,2,12940,7734,27.759,3.404,2.93,0.341,0.479,3.1045810270703487
340,0.187,1.385,1424.653,1264.163,0.49,0.49,1.0,0.693,2,8726,7743,135.0,0.462,1.596,0.626,0.875,0.48795060699365406
341,10.316,23.428,2216.653,1269.388,3.102,8.49,0.236,9.039,2,13577,7775,110.072,2.754,4.485,0.223,0.502,3.6241880667934354
342,9.276,18.547,1496.0,1319.51,6.041,3.918,0.339,6.206,2,9166,8088,153.435,3.872,1.998,0.501,0.598,3.4366509885298755
343,0.027,0.462,1496.49,1324.571,0.163,0.163,1.0,0.231,2,9166,8113,135.0,0.163,1.0,1.0,1.0,0.185411616971131
344,0.107,1.25,1133.714,1332.898,0.327,0.49,0.857,0.589,2,6944,8164,123.69,0.327,2.0,0.5,0.8,0.36910246719124273
345,5.438,10.901,2261.388,1352.0,3.755,2.612,0.575,4.016,2,13851,8281,153.435,2.461,1.671,0.598,0.751,2.631326023941126
346,3.359,6.729,1921.959,1372.735,2.286,1.796,0.932,2.556,2,11772,8419,26.565,1.796,1.307,0.765,0.937,2.0680453647745285
347,0.293,1.808,1921.306,1375.02,0.653,0.49,1.0,0.816,2,11768,8425,36.87,0.49,1.372,0.729,0.957,0.6107857125108631
348,0.373,2.038,1923.265,1377.633,0.653,0.653,1.0,0.924,2,11780,8442,45.0,0.653,1.319,0.758,0.933,0.6891432000580254
349,123.549,50.135,682.286,1378.776,13.061,14.694,0.618,15.17,2,4180,8504,34.032,13.058,1.041,0.961,0.838,12.542227573779892
350,185.15,68.276,1735.673,1380.571,17.469,19.265,0.499,22.915,2,10648,8574,57.216,13.848,1.527,0.655,0.807,15.353836709686455
351,12.501,19.51,2002.449,1386.776,3.429,8.0,0.413,8.416,2,12267,8543,71.917,2.261,4.531,0.221,0.768,3.989582377735077
352,1.919,6.689,394.939,1389.388,2.286,1.633,0.539,2.717,2,2419,8520,32.735,1.299,2.801,0.357,0.72,1.5631208162988481
353,54.137,29.996,2130.776,1426.776,8.653,10.122,0.756,10.593,2,13067,8800,65.41,7.282,1.375,0.727,0.911,8.302371301822602
354,1.519,4.499,1938.122,1430.367,1.633,1.143,0.943,1.766,2,11871,8768,33.69,1.143,1.398,0.715,0.927,1.3907015741893414
355,490.302,117.976,2128.816,1435.592,36.735,27.918,0.443,37.176,2,13039,8890,171.158,25.918,1.809,0.553,0.78,24.98543366169056
356,0.187,1.385,2149.224,1435.755,0.49,0.49,1.0,0.693,2,13164,8797,45.0,0.462,1.596,0.626,0.875,0.48795060699365406
357,0.133,2.174,2156.082,1440.653,0.653,0.816,0.354,1.045,2,13206,8829,51.34,0.327,5.078,0.197,0.526,0.41151046092387084
358,0.027,0.462,2084.245,1455.02,0.163,0.163,1.0,0.231,2,12766,8912,135.0,0.163,1.0,1.0,1.0,0.185411616971131
359,4.212,23.867,980.408,1479.184,2.939,6.694,0.093,6.89,2,6008,9101,76.293,2.939,2.559,0.391,0.259,2.315790353729047
360,184.43,70.984,257.959,1482.939,24.653,13.878,0.46,25.235,2,1580,9094,167.672,13.552,1.508,0.663,0.784,15.323954099236467
361,284.735,126.782,240.163,1484.245,19.429,37.878,0.223,39.001,2,1476,9108,117.96,17.231,2.938,0.34,0.525,19.040374517591996
362,15.22,19.932,1120.653,1522.449,4.571,7.02,0.481,7.334,2,6878,9325,106.821,4.043,1.897,0.527,0.744,4.402125153930676
363,0.24,1.712,1669.061,1526.694,0.49,0.653,1.0,0.73,2,10224,9355,63.435,0.49,1.34,0.746,0.857,0.5527906391541367
364,1.599,8.266,1490.612,1528.98,2.612,1.959,0.294,2.997,2,9130,9374,29.358,1.642,2.117,0.472,0.469,1.426853192179043
365,0.613,2.866,1280.163,1533.388,1.143,0.816,0.938,1.189,2,7841,9393,164.055,0.774,1.647,0.607,0.821,0.8834567566794963
366,9.489,12.86,1126.531,1560.98,5.061,2.612,0.721,5.37,2,6900,9573,19.537,2.55,2.214,0.452,0.919,3.475884065959617
367,20.471,21.397,1188.082,1562.122,5.551,7.347,0.562,7.563,2,7291,9568,103.736,5.004,1.59,0.629,0.796,5.10533904067825
368,4.292,9.747,1216.163,1602.449,3.102,2.776,0.568,3.584,2,7449,9829,30.069,2.078,2.086,0.479,0.717,2.3376792179431547
369,1.066,7.477,1415.184,1604.245,3.265,0.816,0.24,3.302,2,8668,9827,171.469,0.816,6.711,0.149,0.5,1.1650207529000003
370,3.625,9.325,1519.184,1616.327,2.939,2.776,0.524,3.265,2,9308,9901,126.87,1.912,1.975,0.506,0.705,2.1483699284957805
371,0.453,2.5,1367.184,1618.776,0.816,0.816,0.911,1.045,2,8375,9915,128.66,0.693,1.538,0.65,0.872,0.7594586978664665
372,266.022,69.094,207.347,1623.837,24.49,15.51,0.7,24.913,2,1270,10007,10.574,14.957,1.639,0.61,0.92,18.404068304848725
373,2.639,7.382,1101.714,1626.939,2.449,1.959,0.609,2.856,2,6748,9976,30.964,1.606,2.048,0.488,0.75,1.8330518701215452
374,0.32,1.943,1521.633,1627.429,0.816,0.49,1.0,0.879,2,9320,9968,158.199,0.49,1.579,0.633,0.889,0.6383076486422923
375,0.933,4.961,1443.265,1638.204,1.143,1.959,0.476,2.129,2,8840,10046,57.529,0.819,3.713,0.269,0.686,1.0899231602447519
376,0.133,1.25,1369.796,1641.143,0.327,0.49,1.0,0.589,2,8390,10052,123.69,0.327,1.553,0.644,0.909,0.41151046092387084
377,1.573,4.961,1387.755,1643.265,1.306,1.796,0.803,1.911,2,8502,10065,109.983,1.306,1.526,0.655,0.843,1.415205216167751
378,10.849,13.497,1091.918,1647.347,3.755,4.571,0.748,4.598,2,6701,10090,96.116,3.651,1.25,0.8,0.882,3.716635013131069
379,0.267,2.5,1099.265,1648.98,0.653,0.98,0.536,1.033,2,6734,10100,108.435,0.584,2.047,0.489,0.606,0.5830565653899187
380,0.133,1.768,1294.367,1655.02,0.163,0.816,0.536,0.832,2,7928,10137,101.31,0.163,5.0,0.2,1.0,0.41151046092387084
381,1.306,4.364,1293.224,1656.98,0.98,1.633,0.862,1.758,2,7922,10149,111.801,0.98,1.709,0.585,0.925,1.2895157406655116
382,0.053,0.693,1562.776,1660.245,0.327,0.163,1.0,0.365,2,9572,10169,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
